projection_variant,lineup_rank,driver_slot,scenario_name,scenario_role,lineup_archetype,scenario_type,scenario_probability,driver_id,driver_name,dk_id,salary,dk_projection,dk_mean_projection,dk_score_p75,dk_score_p90,dk_value_per_1000,dk_mean_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,mean_projected_laps_led,mean_projected_fastest_laps,projected_laps_led,projected_fastest_laps,prob_lead_25_plus,prob_lead_50_plus,prob_lead_75_plus,prob_lead_100_plus,prob_lead_150_plus,prob_lead_200_plus,dominator_role,construction_role,lineup_role,punt_role
base,8,5,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,ryan_preece,Ryan Preece,43667074,6700,22.919572233066535,23.309911622549507,22.952695127728937,23.783686727502914,3.4208316765770945,3.4790912869476873,22,21,1.7803750422770823,1.9218174710671891,1.0118636167277977,1.4813473975213025,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Not a punt
base,8,6,primary_kyle_larson,Primary dominator B,conventional_primary_control,primary_control,0.099015820525827275,ty_gibbs,Ty Gibbs,43667062,8800,42.99105913604494,44.24208776060351,43.099452612932616,44.0431788072495,4.885347629096016,5.027509972795854,2,3,5.507494267921454,6.367142652495876,3.13014557984312,4.907828313520362,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,9,1,primary_christopher_bell,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.04336542032040238,brad_keselowski,Brad Keselowski,43667068,7700,38.256925362847255,39.32436950096799,38.42588003837114,39.408618327990574,4.968431865304838,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,2.348460223447243,3.7106895710787766,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,9,2,primary_christopher_bell,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.04336542032040238,chase_elliott,Chase Elliott,43667059,9500,44.7196720334443,46.20403503463374,44.92769402301398,45.90241770442171,4.7073338982572945,4.8635826352246045,10,6,8.076456946788753,4.8553795509701105,4.338878539564941,3.633227552340127,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,9,3,primary_christopher_bell,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.04336542032040238,christopher_bell,Christopher Bell,43667057,10000,78.23483146067416,44.29600316892895,44.0875271965295,44.0875271965295,7.823483146067416,4.429600316892895,12,8,5.230598723956214,6.640785528755318,76.85393258426967,42.26966292134832,0.04336542032040238,0.04336542032040238,0.04336542032040238,0,0,0,Contrarian dominator ceiling,Contrarian dominator leverage,Dominator,Not a punt
base,9,4,primary_christopher_bell,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.04336542032040238,erik_jones,Erik Jones,43667070,7300,32.16289340195714,32.680230950574796,32.24921820843062,33.118204396590826,4.40587580848728,4.4767439658321635,16,14,1.7891306437692502,2.739885088072182,0.9611665865209561,2.0502261229486707,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,9,5,primary_christopher_bell,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.04336542032040238,ryan_preece,Ryan Preece,43667074,6700,22.886249485676906,23.309911622549507,22.952695127728937,23.783686727502914,3.4158581321905825,3.4790912869476873,22,21,1.7803750422770823,1.9218174710671891,0.9564628542203145,1.4380750491596161,0,0,0,0,0,0,Supporting scorer,Value place differential,Value place differential,Not a punt
base,9,6,primary_christopher_bell,Contrarian dominator ceiling,conventional_primary_control,primary_control,0.04336542032040238,ty_gibbs,Ty Gibbs,43667062,8800,42.883700101955874,44.24208776060351,43.099452612932616,44.0431788072495,4.873147738858622,5.027509972795854,2,3,5.507494267921454,6.367142652495876,2.958766305980576,4.764463389912733,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
base,10,1,strategy_disruption,Caution / strategy disruption,conventional_disruption,disruption,0.22018348623853212,alex_bowman,Alex Bowman,43667072,7000,27.333434117696925,26.944985899655943,26.387367487982477,27.333434117696925,3.904776302528132,3.8492836999508495,20,19,3.1385536760318016,2.5785499569955377,3.892767387344672,3.0227606019127866,0.01405698108606338,0.01405698108606338,0.01405698108606338,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,10,2,strategy_disruption,Caution / strategy disruption,conventional_disruption,disruption,0.22018348623853212,brad_keselowski,Brad Keselowski,43667068,7700,39.408618327990574,39.32436950096799,38.42588003837114,39.408618327990574,5.118002380258516,5.107060974151687,23,15,4.371460900083042,4.9588983909938396,4.748939926977699,4.93640743610256,0.024500038828520174,0.024500038828520174,0.024500038828520174,0,0,0,Contrarian dominator ceiling,Mid-tier place differential,Mid-tier place differential,Not a punt
base,10,3,strategy_disruption,Caution / strategy disruption,conventional_disruption,disruption,0.22018348623853212,bubba_wallace,Bubba Wallace,43667061,9000,41.20513817997385,41.05787504001174,40.20962093138612,41.20513817997385,4.5783486866637615,4.561986115556859,14,10,4.417378951034951,4.3411784494511165,4.7788072223750016,4.467636387511326,0,0,0,0,0,0,Supporting scorer,Finishing-position scorer,Finishing-position scorer,Not a punt
