projection_variant,lineup_rank,driver_slot,driver_id,driver_name,dk_id,salary,dk_projection,dk_value_per_1000,dk_starting_position_used,dk_projected_finish_rank,projected_laps_led,projected_fastest_laps
chatter,6,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,6,6,tyler_reddick,Tyler Reddick,43606995,9200,49.872237920267985,5.420895426116085,9,10,20.533984978199303,26.086092612707017
chatter,7,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,7,2,austin_cindric,Austin Cindric,43607005,7200,31.29307907469864,4.346260982597033,12,14,3.6337647674062836,7.521417517437927
chatter,7,3,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
chatter,7,4,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
chatter,7,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
chatter,7,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,8,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,8,2,chase_briscoe,Chase Briscoe,43606996,8900,49.058810272982804,5.5122258733688545,5,6,19.130063701207913,16.169542994846275
chatter,8,3,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
chatter,8,4,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
chatter,8,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
chatter,8,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,9,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,9,2,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
chatter,9,3,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
chatter,9,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
chatter,9,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,9,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
chatter,10,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,10,2,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
chatter,10,3,michael_mcdowell,Michael McDowell,43607011,6400,22.78170076391826,3.559640744362228,19,21,1.7679058667095238,7.4216095494241685
chatter,10,4,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
chatter,10,5,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,10,6,ty_gibbs,Ty Gibbs,43606998,8500,48.06119274605028,5.654257970123563,3,8,24.79386985172255,24.139389518043654
chatter,11,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,11,2,brad_keselowski,Brad Keselowski,43607003,7600,41.0434639766561,5.4004557864021185,21,16,13.403909633819465,12.6499701515583
chatter,11,3,bubba_wallace,Bubba Wallace,43607001,7900,40.19112470106723,5.087484139375599,14,13,13.578261613881184,12.881242883548744
chatter,11,4,christopher_bell,Christopher Bell,43606991,10200,64.28393860631812,6.30234692218805,7,2,19.101445192653657,27.79683846256598
chatter,11,5,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
chatter,11,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,12,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,12,2,chase_briscoe,Chase Briscoe,43606996,8900,49.058810272982804,5.5122258733688545,5,6,19.130063701207913,16.169542994846275
chatter,12,3,denny_hamlin,Denny Hamlin,43606988,11000,73.38063908438164,6.67096718948924,1,3,64.37601770270513,40.636965908234146
chatter,12,4,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
chatter,12,5,riley_herbst,Riley Herbst,43607015,5800,22.984914366549912,3.962916270094812,26,24,0.8005162409291167,6.188411791816967
chatter,12,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,13,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,13,2,christopher_bell,Christopher Bell,43606991,10200,64.28393860631812,6.30234692218805,7,2,19.101445192653657,27.79683846256598
chatter,13,3,cody_ware,Cody Ware,43607023,4800,6.183894557427155,1.2883113661306573,36,36,0.20226751611277485,2.51850595199769
chatter,13,4,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
chatter,13,5,ryan_blaney,Ryan Blaney,43606989,10700,74.82146233126262,6.992660030959123,2,1,57.35911671901066,32.181518114466556
chatter,13,6,shane_van_gisbergen,Shane van Gisbergen,43607008,6800,41.299240453886306,6.073417713806809,18,17,25.228746875213762,17.760119411295246
chatter,14,1,alex_bowman,Alex Bowman,43607007,7000,38.62898545243154,5.518426493204506,16,12,2.5275808998663862,6.660200505477655
chatter,14,2,chad_finchum,Chad Finchum,43607024,4500,6.034104625285948,1.3409121389524328,38,37,0.8810193728591271,1.8085550712692573
chatter,14,3,christopher_bell,Christopher Bell,43606991,10200,64.28393860631812,6.30234692218805,7,2,19.101445192653657,27.79683846256598
chatter,14,4,kyle_larson,Kyle Larson,43606990,10500,70.37047469896604,6.701949971330098,4,4,63.02232660670965,32.47754010508582
